loops	prediction	trackerror	treesize	prunetreesize	prunetime	bestcost	time
1.0	0.0	0.0	865.0	0.0	3.3e-05	inf	1.0
2.0	0.0	8.160093305906058e-07	1157.0	819.0	0.000846	inf	2.0
3.0	0.5	0.12423731664168654	1383.0	5.0	0.000565	inf	3.0
4.0	0.2	0.08150772251171245	2135.0	7.0	0.000799	inf	4.0
5.0	0.1	0.14987906346359245	3849.0	8.0	0.001062	inf	5.0
6.0	0.6000000000000001	0.08610850005502202	4898.0	9.0	0.002205	inf	6.0
7.0	0.0	0.12317939472394965	5946.0	13.0	0.002877	inf	7.0
8.0	0.2	0.07058204292077268	5997.0	12.0	0.003626	inf	8.0
9.0	0.1	0.09242455609885836	6870.0	11.0	0.003131	inf	9.0
10.0	0.30000000000000004	0.07528717901748118	7469.0	11.0	0.003826	inf	10.0
11.0	0.1	0.17798923299803	8659.0	13.0	0.004844	inf	11.0
12.0	0.1	0.11569289521230716	9295.0	12.0	0.005435	inf	12.0
13.0	0.1	0.05548310088464402	9874.0	12.0	0.00581	inf	13.0
14.0	0.1	0.10578710496391501	10633.0	12.0	0.005959	inf	14.0
15.0	0.30000000000000004	0.13378220010529362	10984.0	12.0	0.008241	inf	15.0
16.0	0.1	0.24776403126154928	11086.0	13.0	0.007154	inf	16.0
17.0	0.2	0.2327080322629091	11246.0	11.0	0.007011	inf	17.0
18.0	0.1	0.19160507521138884	11750.0	10.0	0.005728	inf	18.0
19.0	0.1	0.17697079935629473	12397.0	9.0	0.007827	inf	19.0
20.0	0.1	0.1515188339948404	12912.0	9.0	0.008365	inf	20.0
21.0	0.1	0.12094763123016346	14474.0	8.0	0.009099	inf	21.0
22.0	0.2	0.059430382610920665	14529.0	7.0	0.01152	inf	22.0
23.0	0.30000000000000004	0.14584820878138144	14902.0	7.0	0.010338	inf	23.0
24.0	0.30000000000000004	0.08979849382884243	13545.0	8.0	0.009621	inf	24.0
25.0	0.2	0.09790684722209228	15310.0	11.0	0.00972	inf	25.0
26.0	0.30000000000000004	0.17866918605764975	15546.0	12.0	0.011022	inf	26.0
27.0	0.1	0.1319365686728191	16260.0	12.0	0.012124	inf	27.0
28.0	0.1	0.045160484956550506	16734.0	12.0	0.011351	inf	28.0
29.0	0.1	0.10260323023187909	17163.0	12.0	0.014068	inf	29.0
30.0	0.2	0.1768770290358873	17945.0	12.0	0.01275	inf	30.0
31.0	0.2	0.12868513003399032	12283.0	12.0	0.010702	inf	31.0
32.0	0.1	0.054843620981395516	12418.0	12.0	0.006464	inf	32.0
33.0	0.2	0.16113155336109122	12867.0	11.0	0.008501	inf	33.0
34.0	0.1	0.08850654079176001	14307.0	10.0	0.008721	inf	34.0
35.0	0.2	0.20016788051152087	13117.0	9.0	0.01022	inf	35.0
36.0	0.1	0.06319743117596477	13458.0	9.0	0.010578	inf	36.0
37.0	0.1	0.07120557629519934	13747.0	8.0	0.010135	inf	37.0
38.0	0.1	0.13436650142499046	14265.0	8.0	0.00918	inf	38.0
39.0	0.30000000000000004	0.041028326348406315	14683.0	7.0	0.011876	inf	39.0
40.0	0.4	0.07043578818945083	15119.0	8.0	0.010473	inf	40.0
41.0	0.2	0.07688916969035105	15549.0	12.0	0.009972	inf	41.0
42.0	0.1	0.11122317164144323	15875.0	11.0	0.011923	inf	42.0
43.0	0.2	0.19998184666997976	16445.0	12.0	0.013194	inf	43.0
44.0	0.1	0.10085325392581561	17125.0	13.0	0.012765	inf	44.0
45.0	0.1	0.1650175494492053	17608.0	12.0	0.013858	inf	45.0
46.0	0.2	0.10151227300892038	17809.0	11.0	0.012307	inf	46.0
47.0	0.1	0.12954454787716463	17956.0	10.0	0.014805	inf	47.0
48.0	0.30000000000000004	0.05564257251427345	6582.0	10.0	0.008295	inf	48.0
49.0	0.2	0.10877639870143145	7064.0	10.0	0.004074	inf	49.0
50.0	0.2	0.19234242919375508	7661.0	9.0	0.003086	inf	50.0
51.0	0.2	0.13560328971204502	8835.0	8.0	0.005419	inf	51.0
52.0	0.2	0.07045212499089071	2385.0	7.0	0.003977	inf	52.0
53.0	0.2	0.17035907911893872	2615.0	9.0	0.002119	inf	53.0
54.0	0.2	0.0824214845790639	3156.0	8.0	0.001863	inf	54.0
55.0	0.2	0.09744587766909694	4819.0	8.0	0.00159	inf	55.0
56.0	0.30000000000000004	0.11065155223142936	3265.0	7.0	0.002204	inf	56.0
57.0	0.2	0.1311491807101808	3608.0	10.0	0.002178	inf	57.0
58.0	0.2	0.08441689192782613	4131.0	10.0	0.004541	inf	58.0
59.0	0.2	0.08441689192782613	903.0	0.0	4e-06	inf	59.0
60.0	0.0	0.0812042971337701	1209.0	766.0	0.000927	inf	60.0
61.0	0.4	0.0810833594743512	2623.0	9.0	0.000782	inf	61.0
62.0	0.2	0.14051698719875336	1292.0	12.0	0.000765	inf	62.0
63.0	0.1	0.07050057701736302	2817.0	12.0	0.000752	inf	63.0
64.0	0.2	0.05494288260120177	4129.0	11.0	0.001432	inf	64.0
65.0	0.1	0.11927533881852566	4618.0	10.0	0.00266	inf	65.0
66.0	0.2	0.07739339625851088	2628.0	9.0	0.001889	inf	66.0
67.0	0.1	0.1121960479329188	3164.0	9.0	0.003328	inf	67.0
68.0	0.2	0.07908968959451548	2673.0	8.0	0.001931	inf	68.0
69.0	0.1	0.09493521578421929	3782.0	8.0	0.001081	inf	69.0
70.0	0.5	0.10787954877791209	3247.0	7.0	0.002063	inf	70.0
71.0	0.0	0.21995721466348594	3877.0	10.0	0.001963	inf	71.0
72.0	0.30000000000000004	0.13161167046304012	3759.0	9.0	0.002383	inf	72.0
73.0	0.2	0.02937159340966077	3581.0	11.0	0.00232	inf	73.0
74.0	0.1	0.18716340233469023	4058.0	10.0	0.001696	inf	74.0
75.0	0.4	0.09028788511615939	4436.0	11.0	0.001906	inf	75.0
76.0	0.1	0.040748648940782076	4831.0	13.0	0.002774	inf	76.0
77.0	0.1	0.19079968994453916	4340.0	12.0	0.002705	inf	77.0
78.0	0.2	0.034391474358416656	4115.0	12.0	0.001745	inf	78.0
79.0	0.1	0.15905285517464882	4618.0	12.0	0.003566	inf	79.0
80.0	0.1	0.22547904854840084	4746.0	12.0	0.001676	inf	80.0
