loops	prediction	trackerror	treesize	prunetreesize
1.0	0.0	0.0	789.0	0.0
2.0	0.0	4.79600017208644e-07	1471.0	303.0
3.0	0.4	0.018983441749640336	1392.0	7.0
4.0	0.2	0.06021902546286649	2658.0	8.0
5.0	0.2	0.15307482626779664	5009.0	8.0
6.0	0.1	0.138713317521067	7311.0	7.0
7.0	0.30000000000000004	0.14919768117423696	7792.0	6.0
8.0	0.6000000000000001	0.1450415234181703	8006.0	7.0
9.0	0.1	0.057540699332795736	7270.0	11.0
10.0	0.1	0.14999286938428896	7760.0	11.0
11.0	0.2	0.25425348229228273	8886.0	11.0
12.0	0.1	0.18207407615175475	9476.0	9.0
13.0	0.1	0.14175051448575013	10636.0	8.0
14.0	0.1	0.06318091644196476	10238.0	7.0
15.0	0.1	0.06977472319101762	10867.0	7.0
16.0	0.30000000000000004	0.15769496688530552	11711.0	6.0
17.0	0.1	0.11761695740920405	12867.0	4.0
18.0	1.0	0.05678138096108896	14681.0	4.0
19.0	1.2000000000000002	0.09478966138059004	15331.0	12.0
20.0	0.1	0.1321902924794838	16095.0	11.0
21.0	0.2	0.1219732328393425	7979.0	12.0
22.0	0.2	0.0702765103578345	7457.0	13.0
23.0	0.2	0.05910241771463556	7686.0	13.0
24.0	0.1	0.062488273808732106	8067.0	12.0
25.0	0.1	0.12124326967738663	8715.0	12.0
26.0	0.2	0.12473149446992725	10462.0	12.0
27.0	0.2	0.09754197398087341	10770.0	12.0
28.0	0.1	0.08904639663951602	11026.0	12.0
29.0	0.1	0.13510955856813525	11226.0	12.0
30.0	0.1	0.15740951412525162	12212.0	12.0
31.0	0.1	0.20252959813965937	12983.0	12.0
32.0	0.2	0.19498990133841834	13522.0	12.0
33.0	0.1	0.08492561275166537	13812.0	12.0
34.0	0.1	0.07517958551481789	14961.0	12.0
35.0	0.2	0.05550391409642046	4565.0	11.0
36.0	0.1	0.12845170214069132	5092.0	10.0
37.0	0.2	0.1254674155819779	5590.0	10.0
38.0	0.1	0.04860380694687986	8736.0	8.0
39.0	0.30000000000000004	0.14597078209666794	9114.0	7.0
40.0	0.2	0.15092225775040713	9631.0	7.0
41.0	0.5	0.07130508048045724	9665.0	7.0
42.0	0.2	0.05556129625791324	10089.0	10.0
43.0	0.2	0.062254825138716795	10690.0	10.0
44.0	0.1	0.20568878691745676	11464.0	10.0
45.0	0.4	0.13667887624938263	3880.0	11.0
46.0	0.0	0.21549529895892727	4804.0	11.0
47.0	0.2	0.17010253840248427	6477.0	10.0
48.0	0.2	0.211513423940628	7897.0	9.0
49.0	0.1	0.08020115654987199	4444.0	7.0
50.0	0.1	0.06313231166777133	5348.0	8.0
51.0	0.30000000000000004	0.117794247629497	4665.0	7.0
52.0	0.30000000000000004	0.13688512194800168	5301.0	8.0
53.0	0.2	0.13770300768641108	3674.0	11.0
54.0	0.2	0.08494274847352982	3907.0	12.0
55.0	0.1	0.09486699484735868	4454.0	11.0
56.0	0.1	0.1703425110703127	5505.0	10.0
57.0	0.2	0.07455263555509788	6438.0	9.0
