loops	prediction	trackerror	treesize	prunetreesize	prunetime	bestcost	time
1.0	0.0	0.0	5257.0	0.0	3e-05	inf	5.0
2.0	0.0	2.479771291950422e-06	7806.0	1990.0	0.004037	inf	10.0
3.0	0.8999999999999999	0.22313958401538259	8538.0	9.0	0.00408	inf	15.0
4.0	0.2	0.08267725879350181	11835.0	11.0	0.008337	inf	20.0
5.0	1.1	0.20055222272111786	12693.0	9.0	0.006868	inf	25.0
6.0	2.6000000000000005	0.13494478269683852	12590.0	8.0	0.010162	inf	30.0
7.0	0.8	0.13426318546125265	7944.0	12.0	0.005875	inf	35.0
8.0	1.3000000000000003	0.059145195842606434	8560.0	13.0	0.005657	inf	40.0
9.0	0.6	0.08721618217646657	9762.0	12.0	0.004015	inf	45.0
10.0	2.6000000000000014	0.21892166076163874	12410.0	10.0	0.006281	inf	50.0
11.0	4.100000000000002	0.0909617418773581	10007.0	6.0	0.007454	inf	55.0
12.0	0.5	0.08980085112721731	11617.0	12.0	0.006378	inf	60.0
13.0	1.8	0.1401881091397967	11988.0	9.0	0.007427	inf	65.0
14.0	2.6000000000000005	0.22019455681109368	12574.0	10.0	0.006499	inf	70.0
15.0	3.700000000000001	0.10895612256209149	13728.0	9.0	0.007982	inf	75.0
16.0	5.400000000000001	0.14809693798687498	12216.0	4.0	0.007707	inf	80.0
17.0	1.5	0.21810223560048309	12997.0	9.0	0.007816	inf	85.0
18.0	0.6000000000000001	0.08660510368836215	12696.0	12.0	0.007581	inf	90.0
19.0	1.3000000000000005	0.1805759925307184	14371.0	11.0	0.00859	inf	95.0
20.0	2.7000000000000006	0.14359201344456596	15088.0	5.0	0.009745	inf	100.0
21.0	1.9000000000000004	0.04253593345514059	6253.0	8.0	0.006736	inf	105.0
22.0	1.7000000000000002	0.06956372899199158	1995.0	8.0	0.001976	inf	110.0
23.0	0.0	0.039791250949724015	553.0	1.0	0.0007	inf	115.0
24.0	0.7999999999999999	0.050479281049693604	507.0	10.0	0.000376	inf	120.0
25.0	0.0	0.12959466477171858	60.0	12.0	0.000412	inf	125.0
26.0	0.0	0.09104742202309131	205.0	12.0	9.5e-05	inf	130.0
27.0	0.0	0.12919484773756323	174.0	205.0	0.000359	inf	135.0
28.0	0.0	0.11021732572544955	324.0	173.0	0.000432	inf	140.0
29.0	1.2000000000000002	0.03997542614454852	98.0	3.0	0.000122	inf	145.0
30.0	0.8	0.0397846046985416	164.0	98.0	7.2e-05	inf	150.0
31.0	0.0	3.495560136575261e-05	77.0	163.0	0.000418	inf	155.0
32.0	1.2	0.03795301927314535	141.0	77.0	6.1e-05	inf	160.0
33.0	0.0	0.0006842070918931443	125.0	132.0	0.000315	inf	165.0
34.0	0.5	0.039719525441034756	429.0	1.0	8.7e-05	inf	170.0
35.0	0.7000000000000001	0.039834070645171325	5410.0	1.0	0.000364	inf	175.0
36.0	0.8	0.039790138805573395	122.0	5410.0	0.00325	inf	180.0
37.0	0.0	2.5551951140223947e-06	452.0	121.0	0.000434	inf	185.0
38.0	1.2000000000000002	0.039823271142549486	79.0	452.0	0.00044	inf	190.0
39.0	0.0	0.00010779137890008455	179.0	78.0	0.000296	inf	195.0
40.0	1.3	0.03942862102074765	271.0	5.0	0.000322	inf	200.0
41.0	1.3	0.04510831586186046	89.0	271.0	0.000344	inf	205.0
42.0	0.0	0.00534265028667634	55.0	88.0	0.000154	inf	210.0
