loops	prediction	trackerror	treesize	prunetreesize	prunetime	bestcost	time
1.0	0.0	0.0	1265.0	0.0	3.5e-05	inf	1.0
2.0	0.0	6.598828988517042e-07	941.0	1163.0	0.00117	inf	2.0
3.0	0.5	0.12879666049145064	1212.0	8.0	0.00049	inf	3.0
4.0	0.1	0.04825806201782666	1722.0	11.0	0.000656	inf	4.0
5.0	0.1	0.1127107606601089	2435.0	11.0	0.000789	inf	5.0
6.0	0.1	0.20665740194533805	4189.0	11.0	0.001127	inf	6.0
7.0	0.2	0.1481554073448815	4934.0	10.0	0.002432	inf	7.0
8.0	0.1	0.1115221176436433	5488.0	8.0	0.002071	inf	8.0
9.0	0.1	0.067824867496455	1993.0	7.0	0.00121	inf	9.0
10.0	0.2	0.14376071406444718	1694.0	8.0	0.000686	inf	10.0
11.0	0.2	0.06054364660128209	2241.0	7.0	0.001338	inf	11.0
12.0	0.5	0.061499914951568035	1606.0	7.0	0.001001	inf	12.0
13.0	0.2	0.09161094384969175	1838.0	11.0	0.000588	inf	13.0
14.0	0.2	0.0877963481077078	3831.0	12.0	0.002326	inf	14.0
15.0	0.30000000000000004	0.10361293562113894	5716.0	11.0	0.004122	inf	15.0
16.0	0.2	0.05158104041745259	1184.0	8.0	0.001905	inf	16.0
17.0	0.30000000000000004	0.1614603690613267	1544.0	7.0	0.000486	inf	17.0
18.0	0.0	0.0938942019678918	2235.0	6.0	0.000933	inf	18.0
19.0	0.9000000000000001	0.07546195721531058	2065.0	5.0	0.000962	inf	19.0
20.0	2.4000000000000004	0.13118605868596817	1615.0	9.0	0.000814	inf	20.0
21.0	0.1	0.04966836781636361	2447.0	7.0	0.001134	inf	21.0
22.0	0.1	0.1410830291405237	957.0	5.0	0.000926	inf	22.0
23.0	0.30000000000000004	0.101331105800944	1643.0	5.0	0.000565	inf	23.0
24.0	0.2	0.11940584781915208	842.0	4.0	0.001047	inf	24.0
25.0	0.8	0.12606033249531753	718.0	6.0	0.000376	inf	25.0
26.0	0.1	0.15856710556640463	1939.0	13.0	0.00057	inf	26.0
27.0	0.1	0.06992175387671296	3305.0	12.0	0.001215	inf	27.0
28.0	0.1	0.05957093713329734	4276.0	12.0	0.002015	inf	28.0
29.0	0.1	0.17135098457427222	9184.0	12.0	0.002591	inf	29.0
30.0	0.5	0.08165602641137736	2081.0	12.0	0.002886	inf	30.0
31.0	0.1	0.09768032325658577	2858.0	10.0	0.001276	inf	31.0
32.0	0.2	0.14090487354857625	4107.0	9.0	0.001604	inf	32.0
33.0	0.1	0.06664879817350204	5200.0	8.0	0.002466	inf	33.0
34.0	0.2	0.1327259832416116	6422.0	9.0	0.003318	inf	34.0
