loops	prediction	trackerror	treesize	prunetreesize	prunetime	bestcost	time
1.0	0.0	0.0	407.0	0.0	3.2e-05	inf	1.0
2.0	0.0	0.00035911976731994925	897.0	238.0	0.000447	inf	2.0
3.0	0.48	0.1042446811463831	1912.0	10.0	0.000383	inf	3.0
4.0	0.56	0.03592571959621825	866.0	13.0	0.000439	inf	4.0
5.0	0.24	0.09216732546436994	785.0	13.0	0.000409	inf	5.0
6.0	0.12	0.08277093906127167	303.0	12.0	0.000225	inf	6.0
7.0	0.28	0.12308588783293241	445.0	14.0	0.000251	inf	7.0
8.0	0.16	0.10762959387004067	734.0	14.0	0.000455	inf	8.0
9.0	0.24	0.042952468430928085	618.0	14.0	0.000257	inf	9.0
10.0	0.32	0.13774604969667878	466.0	13.0	0.000459	inf	10.0
11.0	0.16	0.04941738043613392	1778.0	10.0	0.000293	inf	11.0
12.0	0.32	0.07606817865473683	4421.0	8.0	0.000992	inf	12.0
13.0	0.4	0.040506018518157806	7086.0	4.0	0.002136	inf	13.0
14.0	3.6000000000000014	0.06901246305831717	1122.0	7086.0	0.005562	inf	14.0
15.0	0.0	0.004841750725399627	831.0	1118.0	0.001084	inf	15.0
16.0	0.0	0.12512160025160482	1615.0	1.0	0.000552	inf	16.0
17.0	0.72	0.07670698175518799	882.0	1615.0	0.001409	inf	17.0
18.0	0.0	0.032423712264632414	614.0	863.0	0.000769	inf	18.0
19.0	0.36	0.13842262868786775	813.0	1.0	0.000378	inf	19.0
20.0	0.24	0.19824396715954248	1493.0	12.0	0.000758	inf	20.0
21.0	0.16	0.2921206732076173	1837.0	13.0	0.000882	inf	21.0
22.0	0.32	0.2138288876122699	2432.0	13.0	0.001039	inf	22.0
23.0	0.24	0.18944937252060445	3207.0	14.0	0.001496	inf	23.0
24.0	0.24	0.0981782410211498	3761.0	14.0	0.002108	inf	24.0
25.0	0.16	0.283789592966357	3861.0	15.0	0.002208	inf	25.0
26.0	0.36000000000000004	0.2554179152924976	4384.0	15.0	0.002213	inf	26.0
27.0	0.4	0.21488468339751932	5357.0	15.0	0.002653	inf	27.0
28.0	0.12	0.21762605421431072	5986.0	13.0	0.003407	inf	28.0
29.0	0.16	0.14209754727529667	6606.0	11.0	0.003569	inf	29.0
30.0	0.24	0.12310294838378395	6909.0	11.0	0.004067	inf	30.0
31.0	0.24	0.1503908665405727	7157.0	9.0	0.004081	inf	31.0
32.0	0.32	0.12972487435122224	7714.0	10.0	0.003724	inf	32.0
33.0	0.2	0.1246795615143303	8080.0	12.0	0.004939	inf	33.0
34.0	0.24	0.07337848069378501	8353.0	13.0	0.005303	inf	34.0
35.0	0.24	0.1316996455332428	8933.0	13.0	0.005052	inf	35.0
36.0	0.24	0.06717891733385208	4543.0	13.0	0.004096	inf	36.0
37.0	0.16	0.1399189346988719	5433.0	12.0	0.002839	inf	37.0
38.0	0.28	0.032309547790363255	4065.0	11.0	0.002926	inf	38.0
39.0	0.16	0.12551093308218078	4470.0	14.0	0.003257	inf	39.0
40.0	0.48	0.08844075085138653	5150.0	13.0	0.002836	inf	40.0
41.0	0.2	0.14226018582458164	5662.0	16.0	0.00312	inf	41.0
