loops	prediction	trackerror	treesize	prunetreesize	prunetime	bestcost	time
1.0	0.0	0.0	833.0	0.0	3.1e-05	inf	1.0
2.0	0.0	1.1283443485220153e-07	1914.0	386.0	0.0008	inf	2.0
3.0	0.5	0.12939510075761476	651.0	8.0	0.000635	inf	3.0
4.0	0.2	0.17717811329989053	1154.0	12.0	0.000625	inf	4.0
5.0	0.1	0.15383950308196304	1977.0	12.0	0.000807	inf	5.0
6.0	0.1	0.07529856219881143	2787.0	12.0	0.001501	inf	6.0
7.0	0.1	0.047100859290135674	3391.0	12.0	0.002096	inf	7.0
8.0	0.1	0.04770901043112768	4195.0	12.0	0.002248	inf	8.0
9.0	0.1	0.06645299549692396	4903.0	12.0	0.002483	inf	9.0
10.0	0.1	0.14442602806777788	5804.0	12.0	0.003605	inf	10.0
11.0	0.2	0.04461171007479662	6934.0	12.0	0.003699	inf	11.0
12.0	0.1	0.10614805340873355	8263.0	12.0	0.003613	inf	12.0
13.0	0.2	0.1279911998306851	5069.0	11.0	0.003811	inf	13.0
14.0	0.2	0.16626300665336358	5640.0	12.0	0.00305	inf	14.0
15.0	0.1	0.11968229317707173	6648.0	12.0	0.003355	inf	15.0
16.0	0.1	0.10537932974307307	7498.0	12.0	0.004	inf	16.0
17.0	0.1	0.17499682605279326	8004.0	12.0	0.005041	inf	17.0
18.0	0.2	0.09842387612266489	9204.0	12.0	0.005251	inf	18.0
19.0	0.2	0.10131386863426052	10473.0	12.0	0.006441	inf	19.0
20.0	0.1	0.08372328912624907	10702.0	12.0	0.00704	inf	20.0
21.0	0.1	0.17502916208274824	11099.0	12.0	0.007045	inf	21.0
22.0	0.2	0.11402907684118185	10883.0	11.0	0.006807	inf	22.0
23.0	0.1	0.04510989156762879	11277.0	10.0	0.007469	inf	23.0
24.0	0.1	0.13821945379392367	11640.0	10.0	0.006072	inf	24.0
25.0	0.2	0.05424957812424417	11516.0	9.0	0.008754	inf	25.0
26.0	0.1	0.18701219064701824	12297.0	9.0	0.008646	inf	26.0
27.0	0.2	0.054281536887780334	12381.0	10.0	0.0076	inf	27.0
28.0	0.4	0.16098031084147404	13085.0	10.0	0.008215	inf	28.0
29.0	0.1	0.06078952533980146	12677.0	9.0	0.008629	inf	29.0
30.0	0.1	0.14452898431557124	13860.0	10.0	0.009929	inf	30.0
31.0	0.2	0.06250036019671365	13345.0	9.0	0.011098	inf	31.0
32.0	0.1	0.12160162023132824	13589.0	12.0	0.009469	inf	32.0
33.0	0.30000000000000004	0.12036832432241565	13460.0	11.0	0.008237	inf	33.0
34.0	0.30000000000000004	0.04705488185190122	12947.0	13.0	0.009716	inf	34.0
35.0	0.2	0.0884160333430505	13350.0	17.0	0.009934	inf	35.0
36.0	0.0	0.05101796870976241	14053.0	16.0	0.011153	inf	36.0
37.0	0.2	0.1306669759268107	14674.0	15.0	0.011013	inf	37.0
38.0	0.1	0.06435686641449548	15244.0	14.0	0.012026	inf	38.0
39.0	0.1	0.058624848389144724	13300.0	12.0	0.008946	inf	39.0
40.0	0.1	0.13264824037422088	13843.0	13.0	0.013104	inf	40.0
41.0	0.30000000000000004	0.08977953624187321	10352.0	12.0	0.008288	inf	41.0
42.0	0.0	0.03478919710490814	10921.0	14.0	0.007601	inf	42.0
43.0	0.2	0.07403846267755451	10856.0	12.0	0.008458	inf	43.0
44.0	0.2	0.15829760168399604	6874.0	13.0	0.00554	inf	44.0
45.0	0.1	0.1967577670417205	5575.0	12.0	0.003896	inf	45.0
46.0	0.2	0.16506854833679	6096.0	12.0	0.00283	inf	46.0
47.0	0.1	0.13614687480594323	6164.0	12.0	0.003449	inf	47.0
48.0	0.1	0.09688956854550893	6881.0	12.0	0.003092	inf	48.0
49.0	0.1	0.055834529129359156	6810.0	11.0	0.003915	inf	49.0
50.0	0.1	0.1246695984651166	7369.0	11.0	0.003618	inf	50.0
51.0	0.30000000000000004	0.12119517858266401	6716.0	10.0	0.004482	inf	51.0
52.0	0.0	0.14657137930966885	7332.0	11.0	0.004399	inf	52.0
53.0	0.2	0.18153415160587816	5298.0	10.0	0.002741	inf	53.0
54.0	0.1	0.10085462732360037	5675.0	10.0	0.00357	inf	54.0
55.0	0.30000000000000004	0.09822391584331461	3524.0	9.0	0.003062	inf	55.0
56.0	0.2	0.054629031331888435	3575.0	11.0	0.002153	inf	56.0
57.0	0.30000000000000004	0.16345654641711035	2743.0	11.0	0.002142	inf	57.0
58.0	0.1	0.10295238931682939	2924.0	10.0	0.002044	inf	58.0
59.0	0.1	0.06341625730993032	3036.0	10.0	0.002251	inf	59.0
60.0	0.1	0.15449048356304082	3299.0	9.0	0.002557	inf	60.0
61.0	0.2	0.09420706922667486	3411.0	8.0	0.002172	inf	61.0
62.0	0.1	0.1911333158028979	4056.0	8.0	0.002735	inf	62.0
63.0	0.30000000000000004	0.057707165313625304	2612.0	9.0	0.002452	inf	63.0
64.0	0.2	0.11241233941605362	2803.0	10.0	0.001648	inf	64.0
65.0	0.2	0.12381680920922888	3459.0	10.0	0.001977	inf	65.0
66.0	0.2	0.061537375965264825	3172.0	9.0	0.002108	inf	66.0
67.0	0.1	0.16769159711698492	3419.0	8.0	0.001568	inf	67.0
68.0	0.2	0.08470942646394757	3673.0	8.0	0.001904	inf	68.0
69.0	0.2	0.04781100870384476	3211.0	7.0	0.001772	inf	69.0
70.0	0.2	0.23308564896404768	4145.0	10.0	0.002134	inf	70.0
71.0	0.30000000000000004	0.1045173115727354	3009.0	9.0	0.00439	inf	71.0
72.0	0.2	0.058246650817386406	3765.0	9.0	0.002167	inf	72.0
73.0	0.2	0.17827773722980667	4245.0	8.0	0.002359	inf	73.0
74.0	0.0	0.09773961000680247	5099.0	7.0	0.002792	inf	74.0
75.0	0.30000000000000004	0.06913184758620126	5245.0	6.0	0.003365	44.24146941433654	75.0
76.0	0.30000000000000004	0.1272984127683427	5591.0	5.0	0.003257	44.24146941433654	76.0
77.0	0.30000000000000004	0.19461361103351874	6137.0	7.0	0.00294	44.24146941433654	77.0
78.0	0.4	0.1501447052193961	6731.0	10.0	0.004329	44.09294064254414	78.0
79.0	0.2	0.08361141473829306	648.0	12.0	0.00255	44.09294064254414	79.0
80.0	0.1	0.13904170226188436	1026.0	14.0	0.000598	44.09294064254414	80.0
81.0	0.1	0.06108143916880805	1021.0	12.0	0.000492	44.09294064254414	81.0
82.0	0.2	0.12485969582241868	2708.0	12.0	0.000786	44.09294064254414	82.0
83.0	0.1	0.053934655180433624	3873.0	11.0	0.001772	44.09294064254414	83.0
84.0	0.1	0.14023068265655092	1907.0	9.0	0.001357	44.09294064254414	84.0
85.0	0.2	0.059541728977568376	1534.0	10.0	0.000616	44.09294064254414	85.0
86.0	0.2	0.056304003446104985	2295.0	9.0	0.000891	44.09294064254414	86.0
87.0	0.2	0.11167099057910662	944.0	7.0	0.000953	44.09294064254414	87.0
88.0	0.4	0.11189198224197358	330.0	6.0	0.000616	44.05783462864781	88.0
89.0	0.2	0.11830640352387012	966.0	8.0	0.000282	44.05783462864781	89.0
90.0	0.4	0.1417651854767162	241.0	7.0	0.00045	44.05783462864781	90.0
91.0	0.2	0.08647762741301823	393.0	9.0	0.000468	44.05783462864781	91.0
92.0	0.2	0.2319227910339947	517.0	8.0	0.000652	44.05783462864781	92.0
93.0	0.30000000000000004	0.1387238934533601	607.0	7.0	0.000559	44.05783462864781	93.0
94.0	0.1	0.05551644965669379	734.0	5.0	0.000641	44.05783462864781	94.0
95.0	0.1	0.11101471090122685	884.0	4.0	0.000595	44.05783462864781	95.0
96.0	0.1	0.19760587600798168	1069.0	3.0	0.00072	44.05783462864781	96.0
