loops	prediction	trackerror	treesize	prunetreesize	prunetime	bestcost	time
1.0	0.0	0.0	1690.0	0.0	0.000246	inf	1.0
2.0	0.0	1.6641959240860518e-07	1226.0	1660.0	0.00168	inf	2.0
3.0	0.5	0.073643755297476	1796.0	8.0	0.000705	inf	3.0
4.0	0.1	0.10969904043389361	2930.0	11.0	0.002319	inf	4.0
5.0	0.1	0.20672228685306	3740.0	11.0	0.001886	inf	5.0
6.0	0.2	0.2561686011357574	3850.0	10.0	0.002446	inf	6.0
7.0	0.1	0.1502078270703058	1691.0	8.0	0.001955	inf	7.0
8.0	0.1	0.11072882463284979	2111.0	9.0	0.001211	inf	8.0
9.0	0.1	0.056763476719156394	1948.0	8.0	0.00148	inf	9.0
10.0	0.1	0.0933979943509842	2374.0	8.0	0.00145	inf	10.0
11.0	0.30000000000000004	0.1664499320988989	2692.0	7.0	0.001628	inf	11.0
12.0	0.4	0.09825512189777155	2020.0	7.0	0.001027	inf	12.0
13.0	0.2	0.18600488810214616	3146.0	11.0	0.001155	inf	13.0
14.0	0.1	0.0632247614573872	4002.0	11.0	0.001698	inf	14.0
15.0	0.30000000000000004	0.1920578305187628	3739.0	10.0	0.002771	inf	15.0
16.0	0.2	0.08169037533583481	6750.0	12.0	0.002304	inf	16.0
17.0	0.2	0.05093132849335506	7266.0	13.0	0.003884	inf	17.0
18.0	0.1	0.06361510925525356	8533.0	12.0	0.005759	inf	18.0
19.0	0.2	0.18715980949703592	9119.0	12.0	0.005649	inf	19.0
20.0	0.1	0.12761001497055977	10031.0	12.0	0.0059	inf	20.0
21.0	0.1	0.066326485772144	10198.0	11.0	0.006096	inf	21.0
22.0	0.1	0.07844964821937392	10499.0	12.0	0.006566	inf	22.0
23.0	0.1	0.17634106624751927	11024.0	12.0	0.007793	inf	23.0
24.0	0.2	0.12063819808798995	11682.0	11.0	0.008489	inf	24.0
25.0	0.1	0.17286306432963636	12353.0	10.0	0.007677	inf	25.0
26.0	0.2	0.09066754301794813	12394.0	9.0	0.008217	inf	26.0
27.0	0.1	0.11746739013164935	12555.0	10.0	0.010807	inf	27.0
28.0	0.2	0.1506284802914581	13287.0	10.0	0.010355	inf	28.0
29.0	0.1	0.09354874545758109	13491.0	10.0	0.009975	inf	29.0
30.0	0.4	0.0863441107043662	13609.0	12.0	0.009627	inf	30.0
31.0	0.1	0.04512410346085381	14798.0	11.0	0.009949	inf	31.0
32.0	0.2	0.07022798152661833	15075.0	9.0	0.010613	inf	32.0
33.0	0.1	0.07725564703919258	16056.0	7.0	0.012068	inf	33.0
34.0	0.2	0.1338162592606071	16471.0	8.0	0.013393	inf	34.0
35.0	0.0	0.054738625383222224	16886.0	7.0	0.013203	inf	35.0
36.0	0.7	0.12559315825665932	16545.0	6.0	0.012524	inf	36.0
37.0	0.0	0.04397732361040301	16926.0	8.0	0.011312	inf	37.0
38.0	0.2	0.0912234874610259	17547.0	7.0	0.014319	inf	38.0
39.0	0.6000000000000001	0.08545678614143774	15398.0	6.0	0.013733	inf	39.0
40.0	0.0	0.10779966612700186	16324.0	8.0	0.011033	inf	40.0
41.0	0.5	0.06095626155321778	9492.0	6.0	0.008893	inf	41.0
42.0	0.2	0.06919042761069133	9785.0	9.0	0.007116	inf	42.0
43.0	0.1	0.16434914887031873	9876.0	9.0	0.007183	inf	43.0
44.0	0.2	0.07972460887299657	10374.0	8.0	0.008956	inf	44.0
45.0	0.1	0.14514982477660957	10569.0	6.0	0.008081	inf	45.0
46.0	0.2	0.12468011865726931	11281.0	5.0	0.010064	inf	46.0
47.0	0.30000000000000004	0.042006893845743624	11519.0	5.0	0.010635	inf	47.0
48.0	0.6000000000000001	0.15069863284527882	1920.0	7.0	0.004656	inf	48.0
49.0	0.1	0.11550485326573776	3034.0	11.0	0.001279	inf	49.0
50.0	0.1	0.057316770456071656	2779.0	9.0	0.001682	inf	50.0
51.0	0.1	0.16354871140391053	3399.0	9.0	0.001816	inf	51.0
52.0	0.2	0.10706147328717486	4242.0	8.0	0.001851	inf	52.0
53.0	0.7000000000000001	0.3066765454996307	2176.0	6.0	0.001445	inf	53.0
54.0	0.4	0.07638730322956379	1654.0	7.0	0.001092	inf	54.0
55.0	0.30000000000000004	0.06381252461866929	1389.0	11.0	0.001237	inf	55.0
56.0	0.1	0.10274719968593861	1778.0	12.0	0.001001	inf	56.0
57.0	0.2	0.1762255640527123	2511.0	12.0	0.000868	inf	57.0
58.0	0.1	0.09381677169576827	2750.0	12.0	0.001025	inf	58.0
59.0	0.1	0.1388302385115528	3535.0	12.0	0.001261	inf	59.0
60.0	0.2	0.1118624424099262	2782.0	11.0	0.001683	inf	60.0
61.0	0.1	0.05118927345707177	2719.0	10.0	0.001775	inf	61.0
62.0	0.1	0.13709141513677545	5309.0	10.0	0.001274	inf	62.0
63.0	0.30000000000000004	0.18547845142039152	2240.0	9.0	0.002493	inf	63.0
64.0	0.1	0.060660398472979556	3301.0	8.0	0.001196	inf	64.0
65.0	0.30000000000000004	0.20346591056986782	2219.0	7.0	0.001022	inf	65.0
66.0	0.2	0.7288289366522277	2489.0	7.0	0.001563	inf	66.0
67.0	0.2	1.4071125087252903	1172.0	2489.0	0.002449	inf	67.0
68.0	0.0	1.4460725851616243	1201.0	1172.0	0.001139	inf	68.0
69.0	0.0	0.7740078340563304	1946.0	1190.0	0.001351	inf	69.0
70.0	0.1	0.07666997030473584	683.0	11.0	0.00091	inf	70.0
71.0	0.1	0.037030841933133225	1160.0	11.0	0.000448	inf	71.0
72.0	0.1	0.13285026417276155	1302.0	11.0	0.000401	inf	72.0
73.0	0.2	0.24455453260101553	1135.0	11.0	0.000673	inf	73.0
74.0	0.1	0.14848210611060214	1194.0	11.0	0.000503	inf	74.0
75.0	0.1	0.07605764233571183	1375.0	11.0	0.000538	inf	75.0
76.0	0.1	0.06615905613621727	958.0	11.0	0.000492	inf	76.0
77.0	0.30000000000000004	0.1938681895220099	1082.0	11.0	0.000443	inf	77.0
78.0	0.1	0.06891268986190709	2217.0	12.0	0.000706	inf	78.0
79.0	0.1	0.1768397992552207	2179.0	11.0	0.000968	inf	79.0
80.0	0.2	0.22556335378064446	3315.0	11.0	0.001322	inf	80.0
81.0	0.1	0.17053152805900196	5695.0	9.0	0.00157	inf	81.0
82.0	0.1	0.2309977612428862	7069.0	8.0	0.003296	inf	82.0
83.0	0.2	0.06806230084264867	8086.0	7.0	0.004517	inf	83.0
84.0	0.1	0.06682250068020593	8692.0	5.0	0.003819	inf	84.0
85.0	0.30000000000000004	0.1312129630884097	11022.0	4.0	0.003695	inf	85.0
86.0	0.0	0.04371267487631489	1506.0	11022.0	0.010766	inf	86.0
87.0	0.0	0.02145220832214435	1544.0	1503.0	0.001624	inf	87.0
88.0	0.5	0.05929004279279782	1220.0	1544.0	0.001515	inf	88.0
89.0	0.0	0.09509880863632854	1524.0	653.0	0.001053	inf	89.0
90.0	0.4	0.0989997150442057	1144.0	1524.0	0.001126	inf	90.0
91.0	0.0	0.08821877411585613	1564.0	783.0	0.001085	inf	91.0
92.0	0.4	0.02643185294951943	1421.0	1.0	0.001228	inf	92.0
93.0	0.2	0.04417804812387568	2320.0	5.0	0.00097	inf	93.0
94.0	0.6000000000000001	0.12608026046768156	2983.0	4.0	0.001454	inf	94.0
95.0	0.2	0.12652519743615667	1461.0	2.0	0.001201	inf	95.0
96.0	0.0	0.2548680962297318	930.0	5.0	0.000594	inf	96.0
97.0	0.1	0.11315216805707087	1986.0	12.0	0.000525	inf	97.0
98.0	0.1	0.0867623286770655	1272.0	12.0	0.001021	inf	98.0
99.0	0.1	0.16819039624473567	2287.0	12.0	0.000906	inf	99.0
100.0	0.2	0.043569763946771804	1309.0	12.0	0.000737	inf	100.0
101.0	0.1	0.11339493189242522	567.0	12.0	0.000612	inf	101.0
102.0	0.1	0.19521206497771823	891.0	12.0	0.000344	inf	102.0
103.0	0.2	0.2207697154261054	917.0	11.0	0.000328	inf	103.0
104.0	0.1	0.15136006578910643	797.0	10.0	0.000378	inf	104.0
105.0	0.1	0.08205516125894109	1128.0	10.0	0.000454	inf	105.0
106.0	0.1	0.05760077295994113	1089.0	9.0	0.000928	inf	106.0
107.0	0.0	1.419909873217103	1256.0	1089.0	0.000822	inf	107.0
108.0	0.0	0.23321965535713832	655.0	1167.0	0.001222	inf	108.0
109.0	0.1	0.08611219173873771	980.0	8.0	0.000597	inf	109.0
110.0	0.1	0.09442747639647038	1138.0	7.0	0.00072	inf	110.0
111.0	0.30000000000000004	0.1619654971868969	406.0	6.0	0.000904	inf	111.0
112.0	0.2	0.07030428933636405	761.0	7.0	0.000352	inf	112.0
113.0	0.5	0.05502699997477562	1161.0	6.0	0.000584	inf	113.0
114.0	0.2	0.18530772283508845	1461.0	4.0	0.000962	inf	114.0
115.0	0.1	0.13477806198421455	1942.0	2.0	0.000995	inf	115.0
116.0	1.6000000000000003	0.09673229141545726	119.0	1942.0	0.002125	inf	116.0
117.0	0.0	0.07851235596379642	1035.0	118.0	0.000382	inf	117.0
118.0	0.8	0.0555050860594122	570.0	1035.0	0.000872	inf	118.0
119.0	0.0	0.060659718944789484	1399.0	560.0	0.000658	inf	119.0
120.0	0.30000000000000004	0.032717964239385666	803.0	1399.0	0.000979	inf	120.0
121.0	0.0	0.07228488771710333	1678.0	150.0	0.00059	inf	121.0
122.0	0.5	0.10111897166375766	826.0	1.0	0.000795	inf	122.0
123.0	0.2	0.11301377155663282	449.0	5.0	0.000349	6.249700684289658	123.0
124.0	0.6000000000000001	0.10999812468701028	1811.0	5.0	0.000367	6.249700684289658	124.0
125.0	0.4	0.0965166233518871	821.0	5.0	0.000558	6.249700684289658	125.0
